StudentID,Grade,Attempt,Date,Reading,Math,Writing,Total
12010032,12,1,10/1/2010,350,410,380,1140
12010032,12,2,3/1/2011,340,340,420,1100
12010032,12,3,6/1/2011,330,340,310,980
12020025,12,1,10/1/2010,370,410,380,1160
12020025,12,2,3/1/2011,410,380,340,1130
12020025,12,3,6/1/2011,380,420,420,1220
12030003,12,1,10/1/2010,340,500,510,1350
12030003,12,2,3/1/2011,460,490,460,1410
12030003,12,3,6/1/2011,470,420,450,1340
12030008,12,1,10/1/2010,290,450,330,1070
12030008,12,2,3/1/2011,390,500,370,1260
12030008,12,3,6/1/2011,360,420,330,1110
12030013,12,1,10/1/2010,590,590,520,1700
12030013,12,2,3/1/2011,500,610,530,1640
12030013,12,3,6/1/2011,510,590,550,1650
12030017,12,1,10/1/2010,380,400,430,1210
12030017,12,2,3/1/2011,440,440,480,1360
12030017,12,3,6/1/2011,530,450,570,1550
12030019,12,1,10/1/2010,360,250,440,1050
12030019,12,2,3/1/2011,400,340,410,1150
12030019,12,3,6/1/2011,400,350,370,1120
12030025,12,1,10/1/2010,440,470,410,1320
12030025,12,2,3/1/2011,400,460,460,1320
12030025,12,3,6/1/2011,460,420,420,1300
12030027,12,1,10/1/2010,420,480,440,1340
12030031,12,1,10/1/2011,530,520,510,1560
12030031,12,2,10/1/2012,570,550,490,1610
12030033,12,1,10/1/2010,440,360,420,1220
12030033,12,2,3/1/2011,400,380,370,1150
12030033,12,3,6/1/2011,340,410,390,1140
12030036,12,1,10/1/2010,510,510,510,1530
12030036,12,2,3/1/2011,530,540,420,1490
12030036,12,3,6/1/2011,490,490,430,1410
12030049,12,1,10/1/2010,380,470,380,1230
12030049,12,2,3/1/2011,480,510,430,1420
12030049,12,3,6/1/2011,440,490,420,1350
12030052,12,1,10/1/2010,370,350,380,1100
12030052,12,2,3/1/2011,330,370,360,1060
12030052,12,3,6/1/2011,420,380,390,1190
12030053,12,1,10/1/2010,320,350,320,990
12030053,12,2,3/1/2011,360,340,390,1090
12030053,12,3,6/1/2011,350,370,370,1090
12030056,12,1,10/1/2010,540,470,630,1640
12030056,12,2,3/1/2011,700,530,620,1850
12030056,12,3,6/1/2011,570,500,700,1770
12030061,12,1,3/1/2011,520,470,350,1340
12030061,12,2,6/1/2011,450,490,350,1290
12040002,11,1,3/1/2011,360,410,410,1180
12040002,11,2,6/1/2011,390,430,410,1230
12040002,12,3,10/1/2011,390,430,430,1250
12040003,11,1,3/1/2011,360,340,400,1100
12040003,11,2,6/1/2011,400,400,430,1230
12040003,12,3,10/1/2011,430,440,430,1300
12040027,11,1,3/1/2011,510,630,560,1700
12040027,11,2,6/1/2011,520,620,690,1830
12040027,12,3,10/1/2011,600,630,710,1940
12040036,11,1,3/1/2012,590,650,620,1860
12040036,11,2,5/1/2012,680,690,640,2010
12040038,11,1,3/1/2011,440,430,450,1320
12040038,11,2,6/1/2011,380,460,560,1400
12040038,12,3,10/1/2011,430,500,560,1490
12040040,11,1,3/1/2012,560,440,490,1490
12040040,11,2,5/1/2012,500,400,540,1440
12040040,12,3,10/1/2012,510,440,410,1360
12040041,11,1,3/1/2011,440,500,520,1460
12040041,12,2,10/1/2011,450,530,520,1500
12040044,10,1,3/1/2011,440,490,550,1480
12040044,10,2,6/1/2011,450,540,560,1550
12040044,12,3,10/1/2011,450,510,560,1520
12040048,11,1,3/1/2011,520,480,510,1510
12040048,11,2,6/1/2011,530,520,500,1550
12040048,12,3,10/1/2011,530,520,570,1620
12040053,11,1,3/1/2011,560,580,510,1650
12040053,11,2,6/1/2011,570,610,580,1760
12040053,12,3,10/1/2011,600,610,690,1900
12040062,12,1,10/1/2010,460,470,500,1430
12040062,12,2,3/1/2011,410,460,390,1260
12040062,12,3,6/1/2011,500,420,460,1380
12040067,11,1,3/1/2011,350,440,370,1160
12040067,11,2,6/1/2011,470,550,410,1430
12040073,11,1,3/1/2011,410,390,470,1270
12040073,11,2,6/1/2011,370,400,470,1240
12040075,12,1,10/1/2010,410,450,480,1340
12040075,12,2,3/1/2011,420,480,430,1330
12040075,12,3,6/1/2011,450,450,520,1420
12040078,11,1,3/1/2011,390,390,360,1140
12040078,11,2,6/1/2011,420,420,490,1330
12040078,12,3,10/1/2011,420,420,490,1330
12050016,11,1,3/1/2013,500,500,510,1510
12050016,11,2,5/4/2013,570,460,500,1530
12050016,11,3,6/1/2013,570,500,490,1560
12050024,11,1,3/1/2013,640,660,660,1960
12050024,11,2,5/4/2013,630,650,660,1940
12050024,11,3,6/1/2013,630,650,660,1940
12050024,12,4,10/5/2013,620,710,620,1950
12050026,11,1,3/1/2012,350,490,440,1280
12050026,11,2,5/1/2012,390,480,470,1340
12050026,11,3,6/1/2012,380,440,420,1240
12050031,11,1,3/1/2013,360,350,330,1040
12050031,11,2,5/4/2013,410,380,390,1180
