StudentID,State,PLE,Gender,Grade,Indicator,Attempt,Date,Reading,Math,Writing,Total,X9.0.Reading,X9.0.Writing,X9.0.Math,X9.0.Other.s.,X9.0.Other,X9.0.Sports,X9.0.Arts,X9.1.Reading,X9.1.Writing,X9.1.Math,X9.1.Other.s.,X9.1.Other,X9.1.Sports,X9.1.Arts,X10.0.Reading,X10.0.Writing,X10.0.Math,X10.0.Other.s.,X10.0.Other,X10.0.Sports,X10.0.Arts,X10.1.Reading,X10.1.Writing,X10.1.Math,X10.1.Other.s.,X10.1.Other,X10.1.Sports,X10.1.Arts,X11.0.Reading,X11.0.Writing,X11.0.Math,X11.0.Other.s.,X11.0.Other,X11.0.Sports,X11.0.Arts,X11.1.Reading,X11.1.Writing,X11.1.Math,X11.1.Other.s.,X11.1.Other,X11.1.Sports,X11.1.Arts,X12.0.Reading,X12.0.Writing,X12.0.Math,X12.0.Other.s.,X12.0.Other,X12.0.Sports,X12.0.Arts,X12.1.Reading,X12.1.Writing,X12.1.Math,X12.1.Other.s.,X12.1.Other,X12.1.Sports,X12.1.Arts
12010032,CT,5,F,12,X12.0,1,10/1/2010,350,410,380,1140,67.5,NA,65,50,0,1,0,75,NA,89,50,1,1,0,65,NA,72.5,65.5,0,0,0,NA,NA,NA,NA,0,0,0,59,50,50,83.7,0,0,0,NA,NA,NA,NA,0,0,0,79,100,100,61,0,0,1,NA,NA,NA,NA,0,0,0
12010032,CT,5,F,12,X12.0,2,3/1/2011,340,340,420,1100,67.5,NA,65,50,0,1,0,75,NA,89,50,1,1,0,65,NA,72.5,65.5,0,0,0,NA,NA,NA,NA,0,0,0,59,50,50,83.7,0,0,0,NA,NA,NA,NA,0,0,0,79,100,100,61,0,0,1,NA,NA,NA,NA,0,0,0
12010032,CT,5,F,12,X12.0,3,6/1/2011,330,340,310,980,67.5,NA,65,50,0,1,0,75,NA,89,50,1,1,0,65,NA,72.5,65.5,0,0,0,NA,NA,NA,NA,0,0,0,59,50,50,83.7,0,0,0,NA,NA,NA,NA,0,0,0,79,100,100,61,0,0,1,NA,NA,NA,NA,0,0,0
12020025,CT,7,M,12,X12.1,1,10/1/2010,370,410,380,1160,56.9,NA,64,50,1,1,0,50,NA,83,70.5,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,84.5,NA,61,71,1,0,0,NA,NA,NA,NA,0,0,0,67,NA,84,60.8,0,1,1,NA,NA,NA,82,0,1,0
12020025,CT,7,M,12,X12.1,2,3/1/2011,410,380,340,1130,56.9,NA,64,50,1,1,0,50,NA,83,70.5,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,84.5,NA,61,71,1,0,0,NA,NA,NA,NA,0,0,0,67,NA,84,60.8,0,1,1,NA,NA,NA,82,0,1,0
12020025,CT,7,M,12,X12.1,3,6/1/2011,380,420,420,1220,56.9,NA,64,50,1,1,0,50,NA,83,70.5,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,84.5,NA,61,71,1,0,0,NA,NA,NA,NA,0,0,0,67,NA,84,60.8,0,1,1,NA,NA,NA,82,0,1,0
12030003,CT,6,F,12,X12.0,1,10/1/2010,340,500,510,1350,90,NA,73,69,1,1,0,NA,NA,NA,NA,0,0,0,85,NA,76.5,77,1,0,0,NA,NA,NA,NA,0,0,0,81,61,50,83.8,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,67,87.7,1,1,0,NA,NA,NA,NA,0,0,0
12030003,CT,6,F,12,X12.0,2,3/1/2011,460,490,460,1410,90,NA,73,69,1,1,0,NA,NA,NA,NA,0,0,0,85,NA,76.5,77,1,0,0,NA,NA,NA,NA,0,0,0,81,61,50,83.8,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,67,87.7,1,1,0,NA,NA,NA,NA,0,0,0
12030003,CT,6,F,12,X12.0,3,6/1/2011,470,420,450,1340,90,NA,73,69,1,1,0,NA,NA,NA,NA,0,0,0,85,NA,76.5,77,1,0,0,NA,NA,NA,NA,0,0,0,81,61,50,83.8,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,67,87.7,1,1,0,NA,NA,NA,NA,0,0,0
12030008,CT,8,M,12,X12.0,1,10/1/2010,290,450,330,1070,82,NA,68,73,1,1,0,NA,NA,NA,NA,0,0,0,87.5,NA,71,87,1,1,0,NA,NA,NA,NA,0,0,0,78,51,55,79.9,0,1,0,NA,NA,NA,NA,0,0,0,91,87,76,73.7,1,1,1,NA,NA,NA,NA,0,0,0
12030008,CT,8,M,12,X12.0,2,3/1/2011,390,500,370,1260,82,NA,68,73,1,1,0,NA,NA,NA,NA,0,0,0,87.5,NA,71,87,1,1,0,NA,NA,NA,NA,0,0,0,78,51,55,79.9,0,1,0,NA,NA,NA,NA,0,0,0,91,87,76,73.7,1,1,1,NA,NA,NA,NA,0,0,0
